id;type;default_code;name;categ_id;route_ids/id;weight;tracking
test_product_1203108;product;1203108;FERMENTS LACTIQUES 250GR PRODIVET;Médicaments;purchase.route_warehouse0_buy;0.31;lot
test_product_5197000;product;5197000;HEPATEX 500ml;Médicaments;purchase.route_warehouse0_buy;0.5;lot
test_product_8259830;product;8259830;PORCIFAP 10L;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_5512010;product;5512010;PRIMEVAL OMEGA 3-6-9 CHIEN 500ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.57;lot
test_product_6350563;product;6350563;VOLOSTRUM CALF 450GR;Médicaments;purchase.route_warehouse0_buy;0.57;lot
test_product_9512033;product;9512033;VT PHAK SIROP 50ML;Médicaments;purchase.route_warehouse0_buy;0.1;lot
test_product_6350568;product;6350568;VOLOSTRUM AGNEAU CHEV 10X50G;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_5192027;product;5192027;IMMUNOFOAL 300ml AUDEVARD;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.75;lot
test_product_2975837;product;2975837;TROVET VMS CHIEN/CHAT 250GR;Aliments;purchase.route_warehouse0_buy;1.02;lot
test_product_6350501;product;6350501;P3 CIDE PLUS 20L;Médicaments;purchase.route_warehouse0_buy;;lot
test_product_6600899;product;6600899;FLOGIMINT 400ML;Médicaments;purchase.route_warehouse0_buy;0.45;lot
test_product_2565554;product;2565554;DEXA 0,2% 100ML SOL KELA;Médicaments;purchase.route_warehouse0_buy;0.1;lot
test_product_8270120;product;8270120;PREDNISOLONE 1% 100ML SOL VMD;Médicaments;purchase.route_warehouse0_buy;0.2;lot
test_product_2797249;product;2797249;PREDNISOLONE 2,5%  50ML VMD;Médicaments;purchase.route_warehouse0_buy;0.11;lot
test_product_2503845;product;2503845;LEVENTA 30ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.09;lot
test_product_1451843;product;1451843;CANINSULIN  40UI/ML  10X2,5ML;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.1;lot
test_product_3157617;product;3157617;CANINSULIN 1x10ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.1;lot
test_product_8270102;product;8270102;COLISTINE SULF INJ 40ML;Médicaments;purchase.route_warehouse0_buy;0.1;lot
test_product_136465;product;136465;ETOSOL SE 100 ML;Médicaments;purchase.route_warehouse0_buy;0.21;lot
test_product_97576;product;97576;VITAMINE AD3E 100ML VMD;Médicaments;purchase.route_warehouse0_buy;0.2;lot
test_product_1013168;product;1013168;DUPHAFRAL ADE  FORTE 50ML;Médicaments;purchase.route_warehouse0_buy;0.11;lot
test_product_491357;product;491357;PROCAINE 4% + ADREN 250ml KELA;Médicaments;purchase.route_warehouse0_buy;0.43;lot
test_product_8270063;product;8270063;PROCAINE 4% + ADREN 250ml VMD;Médicaments;purchase.route_warehouse0_buy;0.41;lot
test_product_8270208;product;8270208;PROCAINE 4% 250ml VMD SANS ADRENALINE;Médicaments;purchase.route_warehouse0_buy;0.42;lot
