id,name,bin_checksum_1,location_id/id,kind,zone,corridor,shelf,height,box
__import__.location_loc_AD13B4,AD13B4,13,__import__.location_family_A,bin,A,D,13,B,4
__import__.location_loc_AI08A4,AI08A4,32,__import__.location_family_A,bin,A,I,08,A,4
__import__.location_loc_AB15B1,AB15B1,97,__import__.location_family_A,bin,A,B,15,B,1
__import__.location_loc_AA05B2,AA05B2,02,__import__.location_family_A,bin,A,A,05,B,2
__import__.location_loc_AC02B2,AC02B2,11,__import__.location_family_A,bin,A,C,02,B,2
__import__.location_loc_GK09B4,GK09B4,68,__import__.location_family_G,bin,G,K,0,9,B4
__import__.location_loc_AC12A1,AC12A1,72,__import__.location_family_A,bin,A,C,12,A,1
__import__.location_loc_AA03A1,AA03A1,58,__import__.location_family_A,bin,A,A,03,A,1
__import__.location_loc_AC04B3,AC04B3,68,__import__.location_family_A,bin,A,C,04,B,3
__import__.location_loc_AB08A3,AB08A3,06,__import__.location_family_A,bin,A,B,08,A,3
__import__.location_loc_AEE130,AEE130,06,__import__.location_family_A,bin,A,E,E1,3,0
__import__.location_loc_AG03A1,AG03A1,33,__import__.location_family_A,bin,A,G,03,A,1
__import__.location_loc_GF14F2,GF14F2,97,__import__.location_family_G,bin,G,F,1,4,F2
__import__.location_loc_GGK202,GGK202,01,__import__.location_family_G,bin,G,G,K,2,02
__import__.location_loc_AE02A1,AE02A1,60,__import__.location_family_A,bin,A,E,02,A,1
__import__.location_loc_GGB409,GGB409,06,__import__.location_family_G,bin,G,G,B,4,09
__import__.location_loc_AH03A3,AH03A3,14,__import__.location_family_A,bin,A,H,03,A,3
__import__.location_loc_EXJ200,EXJ200,,__import__.location_family_E,bin,E,X,J,2,00
__import__.location_loc_GC07F2,GC07F2,04,__import__.location_family_G,bin,G,C,0,7,F2
__import__.location_loc_EXC505,EXC505,,__import__.location_family_E,bin,E,X,C,5,05
__import__.location_loc_EXC504,EXC504,,__import__.location_family_E,bin,E,X,C,5,04
__import__.location_loc_EXC503,EXC503,,__import__.location_family_E,bin,E,X,C,5,03
__import__.location_loc_EXC508,EXC508,,__import__.location_family_E,bin,E,X,C,5,08
__import__.location_loc_EXC502,EXC502,,__import__.location_family_E,bin,E,X,C,5,02
__import__.location_loc_PE07D4,PE07D4,,__import__.location_family_P,bin,P,E,07,D,4
__import__.location_loc_GL11B5,GL11B5,28,__import__.location_family_G,bin,G,L,1,1,B5
__import__.location_loc_EXE300,EXE300,,__import__.location_family_E,bin,E,X,E,3,00
__import__.location_loc_GF20D2,GF20D2,95,__import__.location_family_G,bin,G,F,2,0,D2
__import__.location_loc_GK05B5,GK05B5,01,__import__.location_family_G,bin,G,K,0,5,B5
__import__.location_loc_GBH502,GBH502,14,__import__.location_family_G,bin,G,B,H,5,02
__import__.location_loc_GBT402,GBT402,97,__import__.location_family_G,bin,G,B,T,4,02
__import__.location_loc_GBK107,GBK107,05,__import__.location_family_G,bin,G,B,K,1,07
__import__.location_loc_GI11B2,GI11B2,63,__import__.location_family_G,bin,G,I,1,1,B2
__import__.location_loc_GBA517,GBA517,74,__import__.location_family_G,bin,G,B,A,5,17
__import__.location_loc_QFD420,QFD420,49,__import__.location_family_Q,bin,Q,F,D,4,20
__import__.location_loc_GD05B2,GD05B2,64,__import__.location_family_G,bin,G,D,0,5,B2
__import__.location_loc_QCF420,QCF420,15,__import__.location_family_Q,bin,Q,C,F,4,20
__import__.location_loc_GBK113,GBK113,06,__import__.location_family_G,bin,G,B,K,1,13
__import__.location_loc_GH07B6,GH07B6,49,__import__.location_family_G,bin,G,H,0,7,B6
__import__.location_loc_GGB307,GGB307,94,__import__.location_family_G,bin,G,G,B,3,07
__import__.location_loc_GF10A3,GF10A3,81,__import__.location_family_G,bin,G,F,1,0,A3
__import__.location_loc_GF27C6,GF27C6,20,__import__.location_family_G,bin,G,F,2,7,C6
__import__.location_loc_GBK307,GBK307,34,__import__.location_family_G,bin,G,B,K,3,07
__import__.location_loc_GE16B4,GE16B4,57,__import__.location_family_G,bin,G,E,1,6,B4
__import__.location_loc_GGE206,GGE206,58,__import__.location_family_G,bin,G,G,E,2,06
__import__.location_loc_GBK413,GBK413,45,__import__.location_family_G,bin,G,B,K,4,13
__import__.location_loc_GGE107,GGE107,98,__import__.location_family_G,bin,G,G,E,1,07
__import__.location_loc_GD11A1,GD11A1,99,__import__.location_family_G,bin,G,D,1,1,A1
__import__.location_loc_QMA110,QMA110,28,__import__.location_family_Q,bin,Q,M,A,1,10
__import__.location_loc_GE11B6,GE11B6,08,__import__.location_family_G,bin,G,E,1,1,B6
__import__.location_loc_GGE508,GGE508,06,__import__.location_family_G,bin,G,G,E,5,08
__import__.location_loc_GH09D6,GH09D6,98,__import__.location_family_G,bin,G,H,0,9,D6
__import__.location_loc_GGR106,GGR106,32,__import__.location_family_G,bin,G,G,R,1,06
__import__.location_loc_GF11B4,GF11B4,29,__import__.location_family_G,bin,G,F,1,1,B4
__import__.location_loc_GGU304,GGU304,87,__import__.location_family_G,bin,G,G,U,3,04
__import__.location_loc_GD02F7,GD02F7,46,__import__.location_family_G,bin,G,D,0,2,F7
__import__.location_loc_GGE303,GGE303,24,__import__.location_family_G,bin,G,G,E,3,03
__import__.location_loc_GE01C5,GE01C5,29,__import__.location_family_G,bin,G,E,0,1,C5
__import__.location_loc_GBX409,GBX409,17,__import__.location_family_G,bin,G,B,X,4,09
__import__.location_loc_GGH403,GGH403,48,__import__.location_family_G,bin,G,G,H,4,03
__import__.location_loc_GF12E5,GF12E5,13,__import__.location_family_G,bin,G,F,1,2,E5
__import__.location_loc_AA04B1,AA04B1,67,__import__.location_family_A,bin,A,A,04,B,1
__import__.location_loc_AA01B3,AA01B3,44,__import__.location_family_A,bin,A,A,01,B,3
__import__.location_loc_AFB240,AFB240,44,__import__.location_family_A,bin,A,F,B2,4,0
__import__.location_loc_GL15B4,GL15B4,05,__import__.location_family_G,bin,G,L,1,5,B4
__import__.location_loc_GE20A3,GE20A3,00,__import__.location_family_G,bin,G,E,2,0,A3
__import__.location_loc_GE13D3,GE13D3,92,__import__.location_family_G,bin,G,E,1,3,D3
__import__.location_loc_GF22D3,GF22D3,15,__import__.location_family_G,bin,G,F,2,2,D3
__import__.location_loc_GGT203,GGT203,11,__import__.location_family_G,bin,G,G,T,2,03
__import__.location_loc_EXF200,EXF200,,__import__.location_family_E,bin,E,X,F,2,00
__import__.location_loc_EXG600,EXG600,,__import__.location_family_E,bin,E,X,G,6,00
__import__.location_loc_GBD105,GBD105,16,__import__.location_family_G,bin,G,B,D,1,05
__import__.location_loc_GD11B4,GD11B4,20,__import__.location_family_G,bin,G,D,1,1,B4
__import__.location_loc_GC26A2,GC26A2,38,__import__.location_family_G,bin,G,C,2,6,A2
