id,standard_price
__import__.product_0130294,4.47
__import__.product_0130336,0
__import__.product_0130401,5.11
__import__.product_0130492,2.36
__import__.product_0130633,2.16
__import__.product_0130815,15.3
__import__.product_0131334,2.37
__import__.product_0131375,2.79
__import__.product_0131680,1.62
__import__.product_0131896,1.36
__import__.product_0132274,2.11
__import__.product_0132290,4.07
__import__.product_0132324,4.74
__import__.product_0132407,1.77
__import__.product_0132423,2.29
__import__.product_0132450,1.43
__import__.product_0132472,2.27
__import__.product_0132548,0.96
__import__.product_0132563,4.76
__import__.product_0132589,7.29
__import__.product_0132647,7.88
__import__.product_0132704,1.19
__import__.product_0133231,1.39
__import__.product_0133249,1.81
__import__.product_0133686,1.3
__import__.product_0133835,3.74
__import__.product_0133868,5.95
__import__.product_0134100,3.24
__import__.product_0134213,8.23
__import__.product_0134528,3.97
__import__.product_0134593,1.04
__import__.product_0134866,3.54
__import__.product_0134882,6.23
__import__.product_0134957,0
__import__.product_0135100,6.8
__import__.product_0135152,8.87
__import__.product_0135194,18.04
__import__.product_0135418,0.85
__import__.product_0135475,3.75
__import__.product_0135483,1.43
__import__.product_0135509,2.9
__import__.product_0135517,6.42
__import__.product_0135533,9.84
__import__.product_0135700,4.64
__import__.product_0135913,3.25
__import__.product_0135954,4.96
__import__.product_0135996,2.43
__import__.product_0136100,12.1
__import__.product_0136200,4.31
__import__.product_0136242,4.72
__import__.product_0136267,2.51
__import__.product_0136283,3.32
__import__.product_0136432,5.6
__import__.product_0136465,6.03
__import__.product_0136473,4.84
__import__.product_0136481,2.07
__import__.product_0136499,1.98
__import__.product_0136945,3.37
__import__.product_0137050,2.24
__import__.product_0137232,0
__import__.product_0137240,5.18
__import__.product_0137398,3.78
__import__.product_0137545,2.33
__import__.product_0137546,2.17
__import__.product_0137547,3.38
__import__.product_0137554,0
__import__.product_0137562,0
__import__.product_0137596,2.01
__import__.product_0137844,3.18
__import__.product_0137851,0
__import__.product_0137951,1.85
__import__.product_0138420,2.09
__import__.product_0138859,2.68
__import__.product_0138860,2.68
__import__.product_0138861,3.37
__import__.product_0139410,4.62
__import__.product_0139592,2.49
__import__.product_0139865,5.75
__import__.product_0140293,5.71
__import__.product_0141598,11.74
__import__.product_0142836,23.24
__import__.product_0143842,8.09
__import__.product_0145896,4.34
__import__.product_0153072,4.74
__import__.product_0154146,0
__import__.product_0154468,6.59
__import__.product_0154740,27.17
__import__.product_0155663,15.77
__import__.product_0155960,69.98
__import__.product_0159800,5.87
__import__.product_0159820,13.77
__import__.product_0159830,26.91
__import__.product_0159860,4.54
__import__.product_0159870,14.76
__import__.product_0159880,31.54
__import__.product_0159910,4.54
__import__.product_0159920,14.75
__import__.product_0159930,39.46
__import__.product_0159960,4.54
__import__.product_0159970,14.76
__import__.product_0159980,39.46
__import__.product_0161877,0
__import__.product_0163220,5.93
__import__.product_0164244,0
__import__.product_0164459,9.92
__import__.product_0164657,7.56
__import__.product_0164665,1.53
__import__.product_0165266,11.48
__import__.product_0165670,7.66
__import__.product_0166959,4.51
__import__.product_0168612,47.89
__import__.product_0173559,4.55
__import__.product_0173765,15.47
__import__.product_0174441,41.76
__import__.product_0175471,14.1
__import__.product_0175497,18.4
__import__.product_0175641,1.15
__import__.product_0176451,76.35
__import__.product_0179009,15.74
__import__.product_0179648,3.41
__import__.product_0180370,251.25
__import__.product_0180497,1413
__import__.product_0180502,99.16
__import__.product_0180506,185.92
__import__.product_0180509,743.68
__import__.product_0180510,619.73
__import__.product_0180810,4.74
__import__.product_0180836,5.83
__import__.product_0181263,1.77
__import__.product_0181396,7.85
__import__.product_0182360,5.69
__import__.product_0183137,4.71
__import__.product_0183178,17.28
__import__.product_0185132,6.26
__import__.product_0185140,3.18
__import__.product_0185157,4.55
__import__.product_0185686,2.06
__import__.product_0185967,6.35
__import__.product_0188037,9.8
__import__.product_0188038,8.63
__import__.product_0191049,9
__import__.product_0191056,11.6
__import__.product_0191064,14.5
__import__.product_0191353,2.11
__import__.product_0192294,4.46
__import__.product_0192295,0.98
__import__.product_0192385,0.98
__import__.product_0192450,0.98
__import__.product_0193453,1.86
__import__.product_0198036,3.57
__import__.product_0198069,7.13
__import__.product_0198200,7.68
__import__.product_0198325,2.01
__import__.product_0199333,34.09
__import__.product_0202184,3.96
__import__.product_0221762,12.57
__import__.product_0223024,9.02
__import__.product_0226159,0
__import__.product_0226175,10.46
__import__.product_0226183,30.22
__import__.product_0226258,2.61
__import__.product_0231381,11.7
__import__.product_0231399,593.7
__import__.product_0231431,0.45
__import__.product_0233866,0
__import__.product_0235044,12.03
__import__.product_0236083,8.16
__import__.product_0240663,0
__import__.product_0241745,9.23
__import__.product_0242263,18.04
__import__.product_0242750,0
__import__.product_0243279,7
__import__.product_0244160,3.47
__import__.product_0244228,1.97
